N,P,K,temperature,humidity,ph,rainfall,region,crop
102,13,50,31.964087833895285,57.64415256064618,4.814333388134514,39.56707795800993,UP,Cotton
92,72,86,29.717732262592197,47.49407473432187,5.385536060865504,253.35887114391002,WB,Rice
14,85,195,23.616685014540455,45.82088653295861,6.028149749444143,118.91289335138401,MP,Sugarcane
106,143,127,31.878941205440896,46.887585206457494,4.6236299431853185,198.23063527629049,Punjab,Maize
71,127,102,29.01909868423051,63.0801901834143,8.865794048645924,197.07849939339349,Haryana,Rice
20,134,168,28.846922668025428,23.196280186248153,4.010016571006144,198.15393793838072,Punjab,Sugarcane
102,27,50,16.071291918826148,49.076801220754376,7.8605923303992515,85.53384354807409,Punjab,Wheat
121,26,107,19.377502990788457,59.24123901227747,6.632540289597157,49.34025171016294,Punjab,Wheat
74,144,41,20.332729758676308,75.04665512035584,4.42788251597403,39.73246938665972,TN,Soybean
87,13,22,34.245722748516854,57.09956219255733,4.600159368164382,179.35955778307326,Gujarat,Jowar
116,94,175,33.25331472896083,84.83209145801406,6.949996115408375,46.49710730706988,Haryana,Wheat
99,37,108,17.58018272244713,51.06410946592726,5.5762669551830015,131.46476331283543,AP,Rice
103,93,161,11.654568229299395,65.55559058094458,6.25094701704805,265.34073285369607,Maharashtra,Maize
130,99,150,33.033514276193664,21.23067789559336,6.74594555352645,41.620501171089565,Haryana,Wheat
52,73,147,22.29598536382955,36.69136471733573,6.866740667297837,202.2050657995849,AP,Rice
1,42,191,16.594095069708526,77.08201424790133,6.913053327486384,139.98718596807538,MP,Sugarcane
87,143,126,13.510506117132863,61.03505386085706,4.350253198177239,260.7433231137303,WB,Rice
37,68,98,10.384439517655029,86.23211427214267,7.702392669963412,228.0298864815104,AP,Barley
129,76,104,22.831889044416585,72.70135061214009,5.467520816084642,53.184344571690026,Maharashtra,Bajra
20,24,32,20.192914431604763,51.47647007752022,4.572154422415961,101.86441265284665,AP,Bajra
57,38,185,30.894104521218484,74.50978876548473,4.511004469976875,198.3540774156724,TN,Rice
21,115,19,39.29996296562224,52.74507471368081,5.185078145092624,68.06025071590253,UP,Cotton
88,46,132,16.203478588484618,43.111820999511664,7.143399568329371,244.47419114071667,UP,Soybean
