crop,N,P,K,ph,region,fertilizer
Soybean,109,63,77,6.1589894813238075,Bihar,Compost
Barley,102,120,101,8.220037579873173,Haryana,Urea
Groundnut,76,35,106,6.863008016291962,Maharashtra,Compost
Cotton,139,53,84,7.163090702924335,WB,Compost
Soybean,52,138,35,8.943106166128189,Haryana,Compost
Jowar,120,110,19,7.85053649833255,Gujarat,DAP
Maize,2,23,134,5.429797473835587,Haryana,SSP
Soybean,53,100,17,7.864870634045856,Gujarat,Compost
Groundnut,39,34,9,8.642433741841867,UP,Compost
Cotton,67,30,180,5.475381386731499,Gujarat,SSP
Barley,113,135,165,8.086496755096842,MP,MOP
Groundnut,129,54,36,5.189107177890175,Bihar,SSP
Groundnut,41,115,185,6.17016702507543,UP,Compost
Maize,93,100,110,7.450864633216603,MP,Vermicompost
Sugarcane,100,86,25,5.217637641072111,WB,SSP
Cotton,123,142,198,4.936476480753896,Maharashtra,SSP
Rice,1,26,193,6.312718291027933,Haryana,DAP
Groundnut,90,58,186,7.916007661449452,WB,Compost
Sugarcane,58,85,45,6.979316073110948,Haryana,Ammonium Sulphate
Rice,97,136,91,7.506072994466966,UP,Urea
Cotton,15,41,170,7.44638560793916,Punjab,NPK
Wheat,15,67,165,6.722494613537048,Maharashtra,Urea
Jowar,107,55,140,5.5780508781803455,Gujarat,SSP
Sugarcane,22,140,40,6.108556126252397,MP,Ammonium Sulphate
Bajra,41,5,37,5.90310236466946,TN,SSP
Wheat,36,12,33,4.395348561445586,MP,Urea
Jowar,71,85,99,8.492311305497946,Gujarat,Ammonium Sulphate
Maize,133,109,61,7.2092747218364295,Maharashtra,MOP
Soybean,115,116,76,8.285944992741026,AP,Compost
Barley,5,141,193,7.880302331308021,Bihar,NPK
Bajra,31,63,94,4.3414764324842015,UP,SSP
Maize,37,49,118,5.081535221202038,TN,SSP
Cotton,36,95,187,8.75367319220167,UP,Vermicompost
Maize,60,70,184,6.309652704760867,TN,DAP
Soybean,76,40,119,8.059701481725918,Haryana,Compost
Cotton,126,80,175,6.877383671050444,AP,NPK
Bajra,85,54,130,8.117809414486418,Maharashtra,Compost
Soybean,6,103,128,7.673041062837874,TN,Compost
Rice,84,99,158,5.398657224665806,Bihar,SSP
Barley,5,122,120,8.95607268387111,MP,SSP
Bajra,2,104,107,6.452604801248585,Haryana,Ammonium Sulphate
Rice,136,72,6,6.924970764548229,Punjab,NPK
Jowar,46,116,187,6.702175165248338,MP,Compost
Bajra,84,131,94,8.42591020820342,AP,DAP
Jowar,93,99,22,5.399449708064674,Gujarat,SSP
Cotton,22,126,182,4.308562159321134,TN,SSP
Rice,2,131,49,6.140464013446658,Punjab,DAP
Barley,128,107,19,8.59159410175577,Haryana,Urea
Soybean,66,63,139,6.196562056169414,UP,Compost
Groundnut,70,50,159,5.387807357702229,AP,SSP
Maize,130,44,44,7.092479781734514,TN,Urea
Wheat,66,125,21,7.687738656099562,UP,DAP
Barley,54,109,164,6.3137835237380635,MP,Vermicompost
Rice,131,13,148,5.900138427862403,AP,DAP
Groundnut,30,70,195,5.82252213287043,UP,SSP
Barley,65,57,82,6.106562943672445,Maharashtra,DAP
Rice,100,85,192,8.213357500590106,Punjab,DAP
Sugarcane,63,8,109,6.412802304351372,WB,Ammonium Sulphate
Sugarcane,30,130,86,5.5717802128075835,Bihar,SSP
Jowar,116,109,90,4.911574754951923,MP,SSP
Barley,65,140,184,5.4130807180633616,AP,SSP
Sugarcane,46,101,84,6.31364900298161,AP,Ammonium Sulphate
Rice,21,96,53,6.739069775020788,WB,Ammonium Sulphate
Jowar,93,82,53,7.107446507896405,Punjab,Urea
Rice,82,87,158,4.35689708492691,Gujarat,SSP
Jowar,45,74,183,7.0658546641382385,Maharashtra,NPK
Barley,88,40,47,5.759965881575964,UP,SSP
Groundnut,118,88,74,5.284848930049083,AP,SSP
Soybean,45,133,75,5.655299108790081,Gujarat,SSP
Bajra,0,144,13,7.9223276469904,UP,Vermicompost
Groundnut,95,79,176,8.016440290478515,AP,Compost
Cotton,60,104,196,4.518789651918883,Bihar,SSP
Rice,104,57,94,6.473369039389247,Bihar,Urea
Cotton,80,71,6,6.64749201507197,AP,MOP
Groundnut,13,14,168,4.151071330790275,UP,SSP
Jowar,44,50,7,7.585316148264436,MP,DAP
Bajra,76,87,186,5.83397009103261,Punjab,SSP
Bajra,65,121,153,6.089988614763183,TN,MOP
Wheat,31,8,199,7.049641826699965,UP,Urea
Bajra,95,61,13,6.344702188055981,AP,Ammonium Sulphate
Soybean,57,42,16,7.7397495236489995,Punjab,Compost
Bajra,103,144,204,6.9792930754350255,Punjab,Compost
Groundnut,55,35,169,5.130174543323395,Maharashtra,SSP
Wheat,133,134,169,8.352439174007628,Maharashtra,Vermicompost
Groundnut,66,133,108,5.078963884599991,WB,SSP
Groundnut,117,85,199,7.567663740642853,Punjab,Compost
Maize,37,29,60,7.96104665168186,UP,MOP
Wheat,130,9,109,7.441410981648532,MP,Urea
Groundnut,111,52,67,6.109022504423223,TN,Compost
Maize,132,56,158,8.389764861860895,AP,Ammonium Sulphate
Maize,53,78,50,5.638498574037921,MP,SSP
Wheat,33,103,185,7.435381323198183,Gujarat,Urea
Cotton,38,71,64,8.388315302673718,WB,Urea
Jowar,111,123,36,4.7771396325509565,TN,SSP
Soybean,87,107,95,7.263176059191795,Gujarat,Compost
Jowar,47,37,194,8.504796172897056,Gujarat,MOP
Bajra,48,38,179,4.515406338729094,AP,SSP
Soybean,33,117,65,4.7287662795962815,Bihar,SSP
Bajra,99,55,98,5.8912781071992155,TN,SSP
Groundnut,134,40,136,8.97155383631637,Bihar,Compost
Rice,17,17,134,5.119678926334144,UP,DAP
Wheat,69,89,155,5.623601221039945,Maharashtra,SSP
Soybean,113,17,59,8.175483635581124,UP,Compost
Soybean,33,36,45,4.6537167873942025,Haryana,SSP
Groundnut,50,137,200,8.981031896600687,WB,Compost
Cotton,104,16,169,7.694308319563728,UP,Ammonium Sulphate
Maize,92,41,143,8.79585177471866,Bihar,Ammonium Sulphate
Groundnut,68,72,168,4.721989972713614,TN,SSP
Sugarcane,88,110,19,5.162186639025407,MP,SSP
Maize,102,97,105,5.853874182305772,TN,SSP
Wheat,135,45,71,4.255056758679175,Maharashtra,SSP
Maize,82,60,116,4.303458221064654,UP,SSP
Cotton,10,73,162,8.519107106102428,Punjab,MOP
Maize,35,15,61,4.213741314296848,AP,SSP
Wheat,81,141,194,7.749798495745834,Gujarat,Vermicompost
Cotton,37,117,37,7.588211671827098,MP,MOP
Jowar,88,32,69,4.364073040916303,Maharashtra,SSP
Soybean,0,26,5,4.938178825490771,Haryana,SSP
Soybean,103,89,135,6.274086528721628,MP,Compost
Bajra,64,10,13,7.2082859318647365,AP,SSP
Jowar,0,30,36,8.479134242307445,Haryana,Vermicompost
Jowar,124,18,81,6.634159480038259,Maharashtra,MOP
Maize,59,39,49,8.681833870662093,Haryana,Ammonium Sulphate
Soybean,24,46,99,4.9512774429796025,AP,SSP
Wheat,90,57,189,7.113900095832154,UP,MOP
Barley,137,104,25,8.223202175071684,TN,Vermicompost
Barley,49,17,27,5.166623266889989,Maharashtra,SSP
Cotton,139,15,158,7.942726694777752,UP,SSP
Soybean,91,144,121,6.001446135838352,Haryana,Compost
Soybean,31,101,204,8.998120872198996,AP,Compost
Barley,32,90,108,4.457757262566648,MP,SSP
Soybean,25,57,34,6.766361543099121,AP,Compost
Maize,41,13,119,7.915174954212963,WB,NPK
Sugarcane,60,75,73,7.380983212018944,Haryana,Ammonium Sulphate
Rice,40,21,156,6.527924642659342,WB,DAP
Jowar,129,14,78,6.56554489523979,MP,Ammonium Sulphate
Bajra,98,127,68,6.027147782947615,Maharashtra,Compost
Cotton,97,43,167,5.711502125793413,AP,SSP
Sugarcane,30,114,154,6.968332724079089,TN,Ammonium Sulphate
Barley,114,93,43,7.741837284214558,MP,MOP
Jowar,47,98,59,5.39635269147426,UP,SSP
Soybean,1,111,11,8.733094459873335,Haryana,Compost
Bajra,138,38,194,5.824091994425868,MP,SSP
Soybean,100,37,43,6.169873550405745,Haryana,Compost
Wheat,127,16,152,6.055700160999054,UP,MOP
Wheat,58,91,108,4.556698877334997,Punjab,SSP
Bajra,119,97,188,4.579555371985914,WB,SSP
Bajra,37,111,100,7.976354717663705,Maharashtra,NPK
Barley,106,14,198,5.90661661694277,Punjab,SSP
Bajra,20,129,147,5.079937978767079,TN,SSP
Maize,41,23,153,7.53850218637703,Maharashtra,Vermicompost
Soybean,136,27,38,8.798703592545596,Bihar,Compost
