crop,region,month,year,yield,price
Soybean,Maharashtra,3,2020,2.899824174079449,1733.8998831496613
Barley,Bihar,9,2023,1.961918858093308,1664.8258318430373
Groundnut,WB,6,2023,4.914713025148205,2140.63288297271
Cotton,Bihar,11,2018,3.295764145616118,1618.0419310859706
Soybean,Punjab,12,2022,3.1643027639290633,1904.286803655442
Jowar,TN,11,2022,1.7230324512387651,1447.3303316733613
Maize,UP,10,2021,3.496318969127773,1798.7089144367988
Soybean,Haryana,11,2020,3.7565937923041393,1900.4249905426348
Groundnut,Gujarat,8,2017,3.1561583130483664,1493.7520150330583
Cotton,Maharashtra,1,2018,4.6864310214301685,2230.4782313354667
Barley,AP,4,2023,4.098320968480609,2184.713885470294
Groundnut,Haryana,7,2024,1.6351728343692673,1624.8253580666612
Groundnut,MP,12,2021,3.398992805017999,1861.8668534815824
Maize,Haryana,9,2022,4.977856061272057,2143.9975052560726
Sugarcane,TN,12,2020,2.1991169315124806,1535.4700250353271
Cotton,Gujarat,3,2015,3.6601117311852276,1852.9177517654434
Rice,Haryana,12,2023,2.457232828696762,1926.9394761822864
Groundnut,Gujarat,11,2017,2.8001920404838856,1568.2601990580692
Sugarcane,Haryana,12,2017,1.6177206961201438,1325.359286664889
Rice,Bihar,6,2023,3.9077096871273462,2034.1328710623488
Cotton,Bihar,8,2018,4.180038227793997,1753.4151537317482
Wheat,WB,11,2022,4.2052085963436845,2261.2754158209127
Jowar,Punjab,3,2018,4.896899485321841,2093.3878867415146
Sugarcane,Haryana,6,2016,4.432571846413163,1646.971033098473
Bajra,Maharashtra,9,2019,2.2266209713358878,1601.9051715897242
Wheat,Haryana,9,2017,2.3069475824035846,1211.4865398742347
Jowar,MP,6,2018,4.187964560084001,1778.761918529109
Maize,Gujarat,5,2017,4.219172307335745,1884.7441403528996
Soybean,Maharashtra,1,2015,1.9306478502919888,1332.768021207779
Barley,WB,3,2018,1.5232131407363154,1448.717286044442
Bajra,Gujarat,3,2023,2.904831455356784,1997.3602428891404
Maize,Bihar,12,2021,3.9313586690995637,1918.208676314876
Cotton,AP,4,2020,4.533325500760278,1981.2003745065092
Maize,Maharashtra,5,2024,2.0786554459453432,1779.0680956949207
Soybean,Bihar,11,2023,4.353518812494235,2002.072701896338
Cotton,MP,8,2018,3.8955905475878176,1821.4393769096785
Bajra,Maharashtra,11,2020,2.0808434708338064,1459.3141314158354
Soybean,Maharashtra,9,2017,4.556490112002418,1788.8768502815503
Rice,Maharashtra,12,2017,4.765460160601748,2090.5063102295917
Barley,Punjab,7,2024,2.4303239348236527,1807.8626885161173
Bajra,Maharashtra,10,2024,2.02041920748582,1585.390835403549
Rice,Punjab,6,2022,4.886691834663052,2196.0812791714925
Jowar,Bihar,3,2019,1.5800952694625179,1517.5599556156799
Bajra,WB,9,2022,4.819398595928335,2175.9149548048954
Jowar,Punjab,10,2023,2.2567869509543765,1664.1871832337815
Cotton,Punjab,1,2016,3.0334559379681396,1517.9182037692608
Rice,Maharashtra,9,2021,2.5792313739713664,1730.9434112861857
Barley,WB,3,2016,2.0379783524888424,1339.737999710536
Soybean,Maharashtra,9,2021,2.733669411300778,1704.0625387837326
Groundnut,Bihar,10,2017,3.3873673953786354,1620.1535008754004
Maize,Maharashtra,1,2022,1.828393932737429,1656.731712242397
Wheat,UP,8,2018,4.332120733581538,1732.434231051757
Barley,TN,6,2023,4.301335360541934,1895.468339984029
Rice,Bihar,9,2018,4.2911858310553885,1648.424012965634
Groundnut,Haryana,4,2016,3.9025706632261263,1854.9388756053577
Barley,Gujarat,12,2018,3.0934183058317783,1710.1666466482977
Rice,Gujarat,5,2019,4.418034707267928,2186.4808712229933
Sugarcane,WB,6,2022,4.4814714622777885,2150.5461596383548
Sugarcane,UP,12,2017,2.4990994882112805,1504.926795200191
Jowar,Punjab,9,2023,3.1833258783329477,1766.608227178424
Barley,UP,6,2023,2.2103700468659353,1704.271334376363
Sugarcane,TN,9,2024,2.3952664840789124,1729.2999732757964
Rice,Bihar,2,2017,2.3363380928742288,1720.2187142571233
Jowar,WB,4,2022,4.394315159540637,2250.203922896888
Rice,UP,3,2020,2.3778541322339404,1684.2923584302207
Jowar,MP,4,2020,3.4120984221596564,1849.6217552148803
Barley,Punjab,1,2016,3.698861642709451,1522.625524518999
Groundnut,UP,2,2022,4.106389463130051,2026.359254648867
Soybean,WB,4,2021,1.6015254637070517,1570.2914898200236
Bajra,MP,10,2016,3.165116071610025,1496.6377375952488
Groundnut,Haryana,4,2018,2.5241304577508394,1554.227998881356
Cotton,Bihar,5,2019,4.418908714203914,2146.2549466270334
Rice,Bihar,9,2023,1.6286216079759654,1603.8891861357727
Cotton,Haryana,1,2024,2.2244793622764485,1889.3024967589795
Groundnut,Maharashtra,8,2016,2.605155585222299,1495.6638753470777
Jowar,Gujarat,3,2021,1.7724449547533143,1775.662122555683
Bajra,MP,9,2019,2.883962410100529,1526.0886916825941
Bajra,Punjab,11,2016,4.103189412324582,1672.1970625521603
Wheat,UP,8,2024,2.243099421968498,1701.483732321305
Bajra,TN,8,2017,4.140640479092612,1701.028760834377
Soybean,Gujarat,9,2019,3.3515497324879933,1507.0082431221008
Bajra,WB,4,2024,2.7065335184062094,2023.0630962409714
Groundnut,Maharashtra,12,2015,2.7908212210593755,1460.4317625482736
Wheat,Punjab,5,2021,1.907067934442176,1745.1950901678474
Groundnut,TN,12,2015,2.374233527438291,1235.0484921897037
Groundnut,TN,7,2020,4.059285374565042,1997.8571835013993
Maize,Punjab,2,2020,4.519609675582407,2349.863282970145
Wheat,Maharashtra,7,2015,2.429593652978985,1253.7848111408582
Groundnut,WB,12,2021,3.5603424937595536,1856.472555493106
Maize,Haryana,3,2022,1.6215434830379651,1693.67892017126
Maize,Gujarat,6,2017,1.7709218435936038,1400.30759331952
Wheat,AP,6,2024,4.875285454219054,2112.3050899008363
Cotton,AP,6,2015,4.637771339646941,1914.3285779489913
Jowar,Maharashtra,10,2016,1.7844881780617137,1038.4875463105825
Soybean,TN,2,2015,4.378147894030381,1943.6826865821058
Jowar,UP,9,2023,1.8587612330429475,1382.3267092023139
Bajra,Haryana,8,2018,4.399765154829505,1772.8275196943182
Soybean,Haryana,7,2021,4.697252478474402,2184.8942715849207
Bajra,Maharashtra,11,2019,2.0357995198521603,1389.4045758253806
Groundnut,WB,12,2023,2.01531515525991,1809.2423314238508
Rice,Maharashtra,12,2023,4.743002817817597,2251.1533102347285
Wheat,UP,9,2020,2.555011323522258,1571.4615743718073
Soybean,Bihar,4,2019,3.1542942246909718,1770.0818415446868
Soybean,AP,2,2024,2.5655385972495437,1852.696094516752
Groundnut,Maharashtra,4,2015,4.122676017381357,1991.0445891548945
Cotton,Haryana,12,2018,2.2388028701963965,1507.7735798547412
Maize,WB,10,2019,3.2294203301705546,1506.7266783193054
Groundnut,AP,11,2023,4.476622650487714,2203.432543945699
Sugarcane,MP,3,2016,4.799268089247705,1860.2151746436034
Maize,Punjab,2,2016,2.7345748779318466,1570.8703043514638
Wheat,Haryana,2,2017,1.898896036556843,1334.6215603663406
Maize,MP,8,2017,4.333902897524627,1687.8725619593363
Cotton,WB,5,2021,1.887625966313976,1642.625104277492
Maize,Haryana,12,2015,4.227506034595279,1766.3921410027567
Wheat,Maharashtra,6,2016,3.9114567466426644,1602.7217238293674
Cotton,Haryana,8,2015,3.521458543445406,1530.2570285458585
Jowar,WB,7,2023,4.78821320945385,2034.3847144748202
Soybean,Haryana,7,2024,2.628376212857358,1937.217855669704
Soybean,UP,12,2023,1.8266526157602099,1666.3173156040718
Bajra,TN,7,2017,4.935614514172188,1934.7092964130056
Jowar,MP,12,2017,3.044017430378359,1524.7795401941046
Jowar,Bihar,11,2015,3.0168686045145674,1376.151452158009
Maize,TN,11,2019,1.8133541023736042,1496.212721029392
Soybean,WB,7,2017,4.102433505931665,1807.3286269548578
Wheat,AP,8,2016,4.0204115735036225,1760.3209943418442
Barley,UP,1,2017,2.0085371254955806,1378.796689921037
Barley,MP,3,2022,2.3183234332074343,1790.7049069875527
Cotton,WB,1,2022,1.5574506306697529,1642.1328538271569
Soybean,MP,8,2015,4.614051080260483,1713.4343666972447
Soybean,Haryana,2,2016,2.3558483234706458,1551.6027683325162
Barley,Gujarat,7,2015,4.744643145307052,1738.696288929037
Soybean,Maharashtra,6,2022,3.4990936716564334,1827.7928750861806
Maize,TN,11,2015,2.988926731984048,1486.8996076573508
Sugarcane,Haryana,1,2020,1.5274067167601304,1358.9281354346615
Rice,Punjab,12,2024,1.8229529926593981,1918.5909176281114
