N,P,K,ph,organic_matter,region,soil_status
102,13,50,7.660681305649215,2.1133208240276935,Haryana,Moderate
92,72,86,7.286288710432032,1.6783174886137946,Punjab,Moderate
14,85,195,6.269447502423409,1.6066094228410834,Gujarat,Moderate
106,143,127,7.646490200906816,1.6523250802767497,AP,Moderate
71,127,102,7.169849780705086,2.34629386500347,Bihar,Moderate
20,134,168,7.141153778004238,0.6369834365534922,MP,Poor
102,27,50,5.011881986471025,1.746148623746616,UP,Moderate
121,26,107,5.5629171651314095,2.181767386240463,WB,Moderate
74,144,41,5.722121626446051,2.8591423623009646,WB,Moderate
87,13,22,8.040953791419476,2.0899812368238857,TN,Moderate
116,94,175,7.875552454826805,3.2785182053434596,MP,Moderate
99,37,108,5.263363787074522,1.8313189771111684,UP,Moderate
103,93,161,4.275761371549899,2.4523824534690535,Maharashtra,Moderate
130,99,150,7.838919046032277,0.5527433383825725,Maharashtra,Poor
52,73,147,6.049330893971592,1.2153442021715315,Bihar,Poor
1,42,191,5.0990158449514205,2.946372039195771,Haryana,Moderate
87,143,126,4.585084352855477,2.2586451654653024,Haryana,Moderate
37,68,98,4.064073252942505,3.3385191830918286,Bihar,Moderate
129,76,104,6.138648174069431,2.7586293119488614,UP,Good
20,24,32,5.698819071934127,1.8489915747508667,UP,Moderate
57,38,185,7.482350753536414,2.8361338042350592,Gujarat,Good
21,115,19,8.883327160937041,1.9033603448720346,AP,Moderate
88,46,132,5.03391309808077,1.4905066142647856,Punjab,Poor
48,140,47,5.215180701869687,0.6412882159488935,Bihar,Poor
58,70,37,5.686512884321982,3.0968700914596203,Bihar,Moderate
14,25,134,6.3296881744165265,1.7568252076683337,TN,Moderate
50,83,191,7.488493476702677,2.555510855073263,Punjab,Good
107,74,12,5.760157609193033,0.9591784558929507,Punjab,Poor
54,9,116,4.521002714853895,2.986887070855253,UP,Moderate
63,71,37,7.651708186238703,2.9726013381160703,Maharashtra,Moderate
130,20,167,7.973208390089265,1.946442788749379,TN,Moderate
50,103,150,5.238243277939571,2.51643412432306,Gujarat,Moderate
134,77,94,4.683781218711533,2.0643615256484367,WB,Moderate
20,39,153,6.639005257328751,2.15679791620712,Gujarat,Moderate
72,87,196,5.041571504356733,3.16640470156626,TN,Moderate
17,114,160,5.870817166743143,3.400747194021823,Haryana,Moderate
131,43,120,7.886806100644252,1.6024968293099986,Bihar,Moderate
88,14,177,5.098035215922944,1.4951993787313014,Punjab,Poor
59,5,24,8.031296305593555,1.411422308238518,AP,Poor
13,10,127,7.370099939081552,2.812276381427502,UP,Good
8,70,136,5.098629318689504,2.6686923788918313,WB,Moderate
89,42,40,6.632023005230417,0.6314002281477759,Punjab,Poor
52,71,102,7.070353812531335,0.7653226721172673,Maharashtra,Poor
129,104,81,5.001380189068217,2.4386147009194126,TN,Moderate
83,81,184,4.7247466790625845,1.3248758726717864,Bihar,Poor
91,39,130,6.655839672131323,0.7747409481948506,WB,Poor
110,49,43,7.4692058306783045,1.7409911354077496,WB,Moderate
7,72,75,6.325344200357741,3.1324484877874728,AP,Good
34,21,110,4.350196242659601,1.5989353505404171,Bihar,Moderate
80,9,144,8.62606353348399,2.586890116350151,MP,Moderate
49,61,59,7.474827229272552,3.2017246087283935,Punjab,Good
103,99,122,7.1059814289344745,1.0079392440317068,AP,Poor
131,34,98,7.218135059653386,2.3291051955257602,Maharashtra,Moderate
1,11,180,5.9930280045403475,3.222977726233618,Punjab,Moderate
133,128,102,8.92200249653051,1.080239283167339,Bihar,Poor
53,95,13,4.66339605859256,3.466137841365117,Gujarat,Moderate
105,56,144,7.695706887416133,1.5952505895407394,Haryana,Moderate
3,10,73,6.104379801335494,1.1525774306132264,Maharashtra,Poor
53,113,87,8.405480238040631,3.01345835444989,Punjab,Moderate
43,99,189,7.586306371085239,1.9037269559639396,MP,Moderate
13,70,32,6.811261116798462,2.512034538365105,UP,Good
94,14,21,8.688468171940901,1.9688216422266562,Maharashtra,Moderate
47,30,26,8.562216804698684,2.4305833938130537,WB,Moderate
14,137,167,4.261669979761228,0.6061064449907014,Bihar,Poor
39,72,117,4.962940233696964,1.550540679597455,AP,Moderate
81,102,191,7.380232924522893,2.4719355779061227,UP,Moderate
110,75,151,8.609197132530422,1.5523417461359124,UP,Moderate
