crop,region,N,P,K,ph,rainfall,temperature,humidity,fertilizer_amount,yield
Soybean,Maharashtra,50,63,118,5.897620615218653,54.53238547909035,17.370206786401397,73.55642043848408,82.90879015266492,4.499773919935663
Barley,Bihar,40,78,113,8.92598205382288,270.59996677177605,35.57092627987165,74.19466913754881,159.16845750004495,8.420301826264343
Groundnut,WB,63,38,131,4.4862735712161035,58.9934074484409,21.702867628796056,76.52744982754805,196.18490906405242,6.691103663936149
Cotton,Bihar,42,56,110,6.825065744856943,210.8267916729336,14.578390454319022,23.29696671390863,53.21791667230209,5.259702016641226
Soybean,Punjab,90,138,91,5.32437959820038,187.58077109801528,35.700204561047514,78.54656171664634,143.97892694674454,8.247521608610981
Jowar,TN,57,63,106,8.308156632794104,223.81215939651435,10.738005832396988,81.34913281533485,121.36909378763528,7.274258121701169
Maize,UP,58,61,53,6.536034225263073,214.6164142898308,27.506572085149674,60.62633906118589,38.258231858650944,4.734208585042326
Soybean,Haryana,61,124,149,8.267772102900548,122.36780687797214,17.009763101837134,87.33516001164801,143.1965072370619,7.969654994725615
Groundnut,Gujarat,115,41,31,8.648022556675656,284.92027438412975,15.265099338842079,56.04720528527321,136.65902962270883,8.681970830731945
Cotton,Maharashtra,110,36,194,7.167961174300086,162.3378282482151,26.361701424290835,76.98362803910318,28.907296324936105,4.918213788286156
Barley,AP,22,24,15,5.414189990544255,292.12559213763393,37.3950916175361,32.43663014546459,179.5767195954684,7.596221513829288
Groundnut,Haryana,18,130,128,6.242083741661251,126.68587901543482,38.937699210532905,47.25817978037671,95.08199560180506,6.4495081503159355
Groundnut,MP,10,85,176,7.157364001467458,167.62762113896986,14.320418817751914,48.99859627801885,34.64695808762584,5.126604033330695
Maize,Haryana,59,113,112,7.2542587059152694,183.55164183373577,32.64833142371313,44.90156790033563,126.22715899722634,7.160775844365707
Sugarcane,TN,2,56,40,4.335145057634718,177.71051203679622,30.646139627783473,27.79336817239928,154.21945764641342,7.162691857062556
Cotton,Gujarat,8,92,125,5.752815081342666,205.28090286963626,21.953023715692048,48.15299852315168,41.786246451168054,6.630202423451781
Rice,Haryana,40,89,148,6.661984741242454,100.17267532446762,12.913652949281182,86.55995510704314,90.83751895596224,5.420604797635332
Groundnut,Gujarat,37,83,64,5.682019196658102,38.18405370832989,25.5587751219916,60.05175693463282,67.08346769781893,4.817251054199115
Sugarcane,Haryana,68,143,101,6.890411290618148,75.56482103450011,33.49192648238467,87.38832425911349,190.65066659245915,7.496487946075558
Rice,Bihar,34,105,184,4.880110933891606,176.86379300570547,10.1823141167967,68.81042936960965,132.43776796295637,6.827853483337362
Cotton,Bihar,126,64,26,4.172928377338463,260.15084313174066,21.333234490647857,48.71418373864647,164.72721577509722,8.638589580275044
Wheat,WB,47,124,81,5.706609356785834,153.01168769453778,12.177635926312249,42.2746995606456,79.52190997530107,6.103602147198391
Jowar,Punjab,106,130,203,6.841147867085784,109.92197362592111,11.681145205237506,26.917410574007278,173.15266611435848,7.802249466164787
Sugarcane,Haryana,7,16,125,4.055012533063597,224.7489350915459,16.907801477679484,52.33125206825226,76.38361126872834,5.738985432263214
Bajra,Maharashtra,26,106,42,7.05818993354529,130.67627286283482,36.62661246135376,78.1636347798522,67.78658063112677,5.611110244624384
Wheat,Haryana,8,116,69,5.772621295831615,250.15877055319584,23.176513631581166,29.546380655681926,58.396837214215196,6.29942098409375
Jowar,MP,13,44,183,8.965541812674164,23.32305369190417,31.839081806208128,84.88637331640436,69.41696594896351,3.9228829301016943
Maize,Gujarat,28,23,90,7.913955372164892,52.503130116430945,38.746813657937835,68.39620636951526,118.98776981629753,5.548473043692408
Soybean,Maharashtra,25,91,131,5.455234821490464,48.726399552762985,10.158220052835903,70.10396356984205,36.056850727291604,4.1939705825295714
Barley,WB,114,104,155,8.857470554810071,29.789162397045246,33.93700371083811,62.958628165864525,29.313929512731985,4.79038322304253
Bajra,Gujarat,72,84,131,5.391765330518382,67.06080097150779,13.694929418469115,36.09933512474444,74.21459580478353,4.820860276810271
Maize,Bihar,80,11,19,4.541337224049706,296.36972999649504,11.64887821342135,39.84609304727658,63.39061607771427,6.421845296023501
Cotton,AP,66,81,112,4.134331608916998,154.8242159974976,29.78101512588945,85.80455330855263,155.12343796408072,6.205690401251025
Maize,Maharashtra,89,59,83,7.917463859899001,138.2372420035589,31.36746453469525,57.86107371393479,31.162392141551855,5.290790600169888
Soybean,Bihar,95,95,35,5.595485385335493,274.8550821008542,31.491138079371908,42.92566629907702,101.35290277395127,7.536122849813646
Cotton,MP,117,143,160,8.921682352591805,242.58257774620768,17.777601805216197,21.53521215317762,195.70522885480852,9.679601022981846
Bajra,Maharashtra,61,70,71,7.091046805278102,96.21193830323588,14.58344123512787,48.267574040786876,75.45778719499452,4.759158977059317
Soybean,Maharashtra,35,71,174,4.821465825005289,245.2333663423061,13.721820785041995,26.91313370330587,98.87904002101399,6.7877689120327105
Rice,Maharashtra,123,102,157,5.680241533167437,43.14756900789199,18.182837855308243,34.33115735878459,133.0652396808714,6.810803071469605
Barley,Punjab,21,118,37,6.56169956510657,220.43073793050112,22.35030047069317,69.92882781855741,100.81436060938519,5.679769956553467
Bajra,Maharashtra,104,17,101,7.608575618479636,25.159637758116872,37.03696321454016,24.43361618607927,82.45753443259036,4.7492833300041974
Rice,Punjab,113,25,155,6.957075355551826,78.85274426902629,39.060262689410024,20.567930266401632,162.9607546886618,6.767943053110753
Jowar,Bihar,109,139,96,5.300009560305512,268.4869750427614,10.96503283333077,59.667268047179725,73.04556546117635,7.889700062255627
Bajra,WB,2,88,57,6.38018949257273,124.56745096457846,10.612640912420044,62.738816893125154,93.87048600731002,5.49962728949193
Jowar,Punjab,96,116,148,5.082433949930385,151.56727832489727,27.50258926990754,34.3420599647953,104.26859063050101,7.902286746907752
Cotton,Punjab,35,130,169,5.7489365264867365,201.13040944922471,23.939737190951206,87.10707283749579,140.7837423644232,7.809779655480497
Rice,Maharashtra,9,82,137,5.427904746294422,214.29015862552205,25.232700955172973,76.66661504821224,139.00806685585042,7.964945890944186
Barley,WB,99,90,143,8.49276663849384,60.75391138059918,39.318320095387406,38.426889950502556,190.34692606195148,7.548778781562917
Soybean,Maharashtra,20,109,16,7.940366371065713,279.75981354296187,31.696305781108443,87.9309481679931,185.4126719896958,8.092959387997961
Groundnut,Bihar,103,80,25,6.658005875326092,179.10384906555382,14.590833914516029,46.69815267184215,99.76271913121303,6.459890037712662
Maize,Maharashtra,114,117,150,4.871022456528019,187.66113943994225,39.57091214290844,26.744459016192415,52.20793390266089,6.992142460094432
